t,rs_x,rs_y,rs_z,py_x,py_y,py_z
0.3600,-0.159409,0.033927,1.332531,-0.159409,0.033927,1.332531
0.3650,-0.162210,0.037594,1.329919,-0.162210,0.037594,1.329919
0.3700,-0.165108,0.041361,1.327306,-0.165108,0.041361,1.327306
0.3750,-0.168101,0.045228,1.324689,-0.168101,0.045228,1.324689
0.3800,-0.171189,0.049196,1.322066,-0.171189,0.049196,1.322066
0.3850,-0.174373,0.053263,1.319435,-0.174373,0.053263,1.319435
0.3900,-0.177651,0.057430,1.316794,-0.177651,0.057430,1.316794
0.3950,-0.181022,0.061697,1.314141,-0.181022,0.061697,1.314141
0.4000,-0.184487,0.066064,1.311475,-0.184487,0.066064,1.311475
0.4050,-0.188044,0.070529,1.308794,-0.188044,0.070529,1.308794
0.4100,-0.191693,0.075093,1.306096,-0.191693,0.075093,1.306096
0.4150,-0.195433,0.079755,1.303382,-0.195433,0.079755,1.303382
0.4200,-0.199263,0.084514,1.300648,-0.199263,0.084514,1.300648
0.4250,-0.203183,0.089370,1.297894,-0.203183,0.089370,1.297894
0.4300,-0.207190,0.094322,1.295120,-0.207190,0.094322,1.295120
0.4350,-0.211284,0.099369,1.292324,-0.211284,0.099369,1.292324
0.4400,-0.215464,0.104509,1.289505,-0.215464,0.104509,1.289505
0.4450,-0.219729,0.109743,1.286663,-0.219729,0.109743,1.286663
0.4500,-0.224076,0.115069,1.283797,-0.224076,0.115069,1.283797
0.4550,-0.228506,0.120484,1.280907,-0.228506,0.120484,1.280907
0.4600,-0.233017,0.125989,1.277990,-0.233017,0.125989,1.277990
0.4650,-0.237606,0.131582,1.275048,-0.237606,0.131582,1.275048
0.4700,-0.242273,0.137260,1.272079,-0.242273,0.137260,1.272079
0.4750,-0.247015,0.143023,1.269082,-0.247015,0.143023,1.269082
0.4800,-0.251832,0.148869,1.266058,-0.251832,0.148869,1.266058
0.4850,-0.256722,0.154797,1.263007,-0.256722,0.154797,1.263007
0.4900,-0.261684,0.160805,1.259929,-0.261684,0.160805,1.259929
0.4950,-0.266715,0.166892,1.256824,-0.266715,0.166892,1.256824
0.5000,-0.271816,0.173057,1.253693,-0.271816,0.173057,1.253693
0.5050,-0.276985,0.179297,1.250537,-0.276985,0.179297,1.250537
0.5100,-0.282220,0.185613,1.247356,-0.282220,0.185613,1.247356
0.5150,-0.287520,0.192003,1.244153,-0.287520,0.192003,1.244153
0.5200,-0.292885,0.198464,1.240929,-0.292885,0.198464,1.240929
0.5250,-0.298312,0.204997,1.237684,-0.298312,0.204997,1.237684
0.5300,-0.303801,0.211600,1.234421,-0.303801,0.211600,1.234421
0.5350,-0.309350,0.218270,1.231141,-0.309350,0.218270,1.231141
0.5400,-0.314959,0.225008,1.227846,-0.314959,0.225008,1.227846
0.5450,-0.320625,0.231811,1.224538,-0.320625,0.231811,1.224538
0.5500,-0.326348,0.238677,1.221218,-0.326348,0.238677,1.221218
0.5550,-0.332126,0.245606,1.217889,-0.332126,0.245606,1.217889
0.5600,-0.337958,0.252596,1.214552,-0.337958,0.252596,1.214552
0.5650,-0.343842,0.259644,1.211210,-0.343842,0.259644,1.211210
0.5700,-0.349778,0.266749,1.207864,-0.349778,0.266749,1.207864
0.5750,-0.355762,0.273910,1.204517,-0.355762,0.273910,1.204517
0.5800,-0.361795,0.281124,1.201171,-0.361795,0.281124,1.201171
0.5850,-0.367874,0.288390,1.197828,-0.367874,0.288390,1.197828
0.5900,-0.373998,0.295706,1.194490,-0.373998,0.295706,1.194490
0.5950,-0.380166,0.303069,1.191160,-0.380166,0.303069,1.191160
0.6000,-0.386375,0.310479,1.187840,-0.386375,0.310479,1.187840
0.6050,-0.392625,0.317933,1.184532,-0.392625,0.317933,1.184532
0.6100,-0.398913,0.325429,1.181240,-0.398913,0.325429,1.181240
0.6150,-0.405238,0.332965,1.177966,-0.405238,0.332965,1.177966
0.6200,-0.411599,0.340539,1.174712,-0.411599,0.340539,1.174712
0.6250,-0.417993,0.348150,1.171481,-0.417993,0.348150,1.171481
0.6300,-0.424419,0.355794,1.168277,-0.424419,0.355794,1.168277
0.6350,-0.430876,0.363470,1.165102,-0.430876,0.363470,1.165102
0.6400,-0.437361,0.371176,1.161958,-0.437361,0.371176,1.161958
0.6450,-0.443872,0.378909,1.158849,-0.443872,0.378909,1.158849
0.6500,-0.450408,0.386667,1.155778,-0.450408,0.386667,1.155778
0.6550,-0.456967,0.394448,1.152746,-0.456967,0.394448,1.152746
0.6600,-0.463546,0.402249,1.149757,-0.463546,0.402249,1.149757
0.6650,-0.470144,0.410068,1.146813,-0.470144,0.410068,1.146813
0.6700,-0.476758,0.417902,1.143916,-0.476758,0.417902,1.143916
0.6750,-0.483387,0.425748,1.141070,-0.483387,0.425748,1.141070
0.6800,-0.490028,0.433604,1.138276,-0.490028,0.433604,1.138276
0.6850,-0.496678,0.441467,1.135537,-0.496678,0.441467,1.135537
0.6900,-0.503335,0.449334,1.132855,-0.503335,0.449334,1.132855
0.6950,-0.509998,0.457203,1.130232,-0.509998,0.457203,1.130232
0.7000,-0.516664,0.465070,1.127670,-0.516664,0.465070,1.127670
0.7050,-0.523329,0.472933,1.125170,-0.523329,0.472933,1.125170
0.7100,-0.529992,0.480788,1.122736,-0.529992,0.480788,1.122736
0.7150,-0.536650,0.488633,1.120368,-0.536650,0.488633,1.120368
0.7200,-0.543301,0.496464,1.118068,-0.543301,0.496464,1.118068
0.7250,-0.549942,0.504278,1.115838,-0.549942,0.504278,1.115838
0.7300,-0.556569,0.512072,1.113680,-0.556569,0.512073,1.113680
0.7350,-0.563182,0.519844,1.111593,-0.563182,0.519844,1.111593
0.7400,-0.569776,0.527588,1.109581,-0.569776,0.527588,1.109581
0.7450,-0.576349,0.535303,1.107642,-0.576349,0.535303,1.107642
0.7500,-0.582898,0.542985,1.105780,-0.582898,0.542985,1.105780
0.7550,-0.589420,0.550631,1.103993,-0.589420,0.550631,1.103993
0.7600,-0.595912,0.558237,1.102284,-0.595912,0.558237,1.102284
0.7650,-0.602372,0.565800,1.100651,-0.602372,0.565800,1.100651
0.7700,-0.608797,0.573316,1.099096,-0.608797,0.573316,1.099096
0.7750,-0.615183,0.580782,1.097619,-0.615183,0.580782,1.097619
0.7800,-0.621527,0.588195,1.096219,-0.621527,0.588195,1.096219
0.7850,-0.627827,0.595552,1.094896,-0.627827,0.595552,1.094896
0.7900,-0.634079,0.602848,1.093649,-0.634079,0.602848,1.093649
0.7950,-0.640281,0.610080,1.092479,-0.640281,0.610080,1.092479
0.8000,-0.646430,0.617246,1.091384,-0.646430,0.617246,1.091384
0.8050,-0.652522,0.624342,1.090364,-0.652522,0.624342,1.090364
0.8100,-0.658554,0.631364,1.089417,-0.658554,0.631364,1.089417
0.8150,-0.664525,0.638310,1.088542,-0.664525,0.638310,1.088542
0.8200,-0.670431,0.645175,1.087738,-0.670431,0.645175,1.087738
0.8250,-0.676270,0.651957,1.087003,-0.676270,0.651957,1.087003
0.8300,-0.682040,0.658653,1.086336,-0.682040,0.658653,1.086336
0.8350,-0.687737,0.665260,1.085735,-0.687737,0.665260,1.085735
0.8400,-0.693360,0.671775,1.085199,-0.693360,0.671775,1.085199
0.8450,-0.698907,0.678194,1.084724,-0.698907,0.678194,1.084724
0.8500,-0.704376,0.684514,1.084309,-0.704376,0.684514,1.084309
0.8550,-0.709765,0.690734,1.083952,-0.709765,0.690734,1.083952
0.8600,-0.715073,0.696849,1.083650,-0.715073,0.696849,1.083650
0.8650,-0.720297,0.702858,1.083401,-0.720297,0.702858,1.083401
0.8700,-0.725437,0.708758,1.083203,-0.725437,0.708758,1.083203
0.8750,-0.730491,0.714546,1.083053,-0.730491,0.714546,1.083053
0.8800,-0.735459,0.720221,1.082948,-0.735459,0.720221,1.082948
0.8850,-0.740339,0.725778,1.082886,-0.740339,0.725778,1.082886
0.8900,-0.745130,0.731218,1.082864,-0.745130,0.731218,1.082864
0.8950,-0.749833,0.736537,1.082879,-0.749833,0.736537,1.082879
0.9000,-0.754446,0.741734,1.082929,-0.754446,0.741734,1.082929
0.9050,-0.758968,0.746807,1.083011,-0.758968,0.746807,1.083010
0.9100,-0.763401,0.751756,1.083122,-0.763401,0.751756,1.083122
0.9150,-0.767742,0.756577,1.083260,-0.767742,0.756577,1.083260
0.9200,-0.771993,0.761271,1.083422,-0.771993,0.761271,1.083422
0.9250,-0.776153,0.765836,1.083605,-0.776153,0.765836,1.083605
0.9300,-0.780222,0.770271,1.083808,-0.780222,0.770271,1.083808
0.9350,-0.784201,0.774575,1.084027,-0.784201,0.774575,1.084027
0.9400,-0.788089,0.778749,1.084260,-0.788089,0.778749,1.084260
0.9450,-0.791888,0.782790,1.084505,-0.791888,0.782790,1.084505
0.9500,-0.795597,0.786699,1.084760,-0.795597,0.786699,1.084760
0.9550,-0.799217,0.790476,1.085022,-0.799217,0.790476,1.085022
0.9600,-0.802749,0.794120,1.085289,-0.802749,0.794120,1.085289
0.9650,-0.806193,0.797631,1.085560,-0.806193,0.797631,1.085560
0.9700,-0.809550,0.801009,1.085833,-0.809550,0.801009,1.085833
0.9750,-0.812821,0.804255,1.086105,-0.812821,0.804255,1.086105
0.9800,-0.816006,0.807368,1.086376,-0.816006,0.807368,1.086376
0.9850,-0.819106,0.810348,1.086643,-0.819106,0.810348,1.086643
0.9900,-0.822123,0.813196,1.086905,-0.822123,0.813196,1.086905
0.9950,-0.825056,0.815912,1.087161,-0.825056,0.815912,1.087161
1.0000,-0.827908,0.818497,1.087410,-0.827908,0.818497,1.087410
1.0050,-0.830680,0.820951,1.087650,-0.830680,0.820951,1.087650
1.0100,-0.833371,0.823275,1.087880,-0.833371,0.823275,1.087880
1.0150,-0.835984,0.825469,1.088100,-0.835984,0.825469,1.088100
1.0200,-0.838519,0.827534,1.088308,-0.838519,0.827534,1.088308
1.0250,-0.840978,0.829470,1.088505,-0.840978,0.829470,1.088504
1.0300,-0.843362,0.831279,1.088688,-0.843362,0.831279,1.088688
1.0350,-0.845671,0.832961,1.088858,-0.845671,0.832961,1.088858
1.0400,-0.847909,0.834517,1.089015,-0.847909,0.834517,1.089015
1.0450,-0.850074,0.835947,1.089157,-0.850074,0.835947,1.089157
1.0500,-0.852170,0.837253,1.089286,-0.852170,0.837253,1.089286
