t,rs_x,rs_y,rs_z,py_x,py_y,py_z
0.3950,-0.028931,0.018591,1.485470,-0.028931,0.018591,1.485470
0.4000,-0.032203,0.016040,1.486979,-0.032203,0.016040,1.486979
0.4050,-0.035603,0.013405,1.488459,-0.035603,0.013405,1.488459
0.4100,-0.039131,0.010683,1.489908,-0.039131,0.010683,1.489908
0.4150,-0.042788,0.007874,1.491322,-0.042788,0.007874,1.491322
0.4200,-0.046573,0.004977,1.492702,-0.046573,0.004977,1.492702
0.4250,-0.050485,0.001990,1.494043,-0.050485,0.001990,1.494043
0.4300,-0.054525,-0.001087,1.495345,-0.054525,-0.001087,1.495345
0.4350,-0.058691,-0.004255,1.496606,-0.058691,-0.004255,1.496606
0.4400,-0.062982,-0.007516,1.497824,-0.062982,-0.007516,1.497824
0.4450,-0.067399,-0.010868,1.498997,-0.067399,-0.010868,1.498997
0.4500,-0.071940,-0.014314,1.500124,-0.071940,-0.014314,1.500124
0.4550,-0.076604,-0.017854,1.501204,-0.076604,-0.017854,1.501204
0.4600,-0.081390,-0.021488,1.502234,-0.081390,-0.021488,1.502234
0.4650,-0.086296,-0.025217,1.503215,-0.086296,-0.025217,1.503215
0.4700,-0.091322,-0.029040,1.504144,-0.091322,-0.029040,1.504144
0.4750,-0.096465,-0.032958,1.505021,-0.096465,-0.032958,1.505021
0.4800,-0.101725,-0.036972,1.505844,-0.101725,-0.036972,1.505844
0.4850,-0.107100,-0.041081,1.506614,-0.107100,-0.041081,1.506614
0.4900,-0.112588,-0.045285,1.507328,-0.112588,-0.045285,1.507328
0.4950,-0.118187,-0.049585,1.507988,-0.118187,-0.049585,1.507988
0.5000,-0.123897,-0.053979,1.508591,-0.123897,-0.053979,1.508591
0.5050,-0.129715,-0.058469,1.509138,-0.129715,-0.058469,1.509138
0.5100,-0.135640,-0.063054,1.509630,-0.135640,-0.063054,1.509629
0.5150,-0.141669,-0.067734,1.510064,-0.141669,-0.067734,1.510064
0.5200,-0.147802,-0.072508,1.510442,-0.147802,-0.072508,1.510442
0.5250,-0.154036,-0.077376,1.510764,-0.154036,-0.077376,1.510764
0.5300,-0.160369,-0.082339,1.511030,-0.160369,-0.082339,1.511030
0.5350,-0.166800,-0.087395,1.511240,-0.166800,-0.087395,1.511240
0.5400,-0.173327,-0.092544,1.511395,-0.173327,-0.092544,1.511395
0.5450,-0.179947,-0.097786,1.511496,-0.179947,-0.097786,1.511496
0.5500,-0.186660,-0.103121,1.511542,-0.186660,-0.103121,1.511542
0.5550,-0.193463,-0.108547,1.511535,-0.193463,-0.108547,1.511535
0.5600,-0.200354,-0.114065,1.511476,-0.200354,-0.114065,1.511476
0.5650,-0.207331,-0.119674,1.511366,-0.207331,-0.119674,1.511366
0.5700,-0.214393,-0.125373,1.511206,-0.214393,-0.125373,1.511206
0.5750,-0.221537,-0.131161,1.510996,-0.221537,-0.131161,1.510996
0.5800,-0.228762,-0.137039,1.510739,-0.228762,-0.137039,1.510739
