t,rs_x,rs_y,rs_z,py_x,py_y,py_z
0.3750,-0.409956,0.364730,1.342388,-0.409956,0.364730,1.342388
0.3800,-0.413674,0.369507,1.340143,-0.413674,0.369507,1.340143
0.3850,-0.417351,0.374253,1.337870,-0.417351,0.374253,1.337870
0.3900,-0.420986,0.378967,1.335570,-0.420985,0.378967,1.335570
0.3950,-0.424578,0.383648,1.333240,-0.424578,0.383648,1.333240
0.4000,-0.428128,0.388294,1.330881,-0.428128,0.388294,1.330881
0.4050,-0.431635,0.392905,1.328492,-0.431635,0.392905,1.328491
0.4100,-0.435100,0.397479,1.326072,-0.435100,0.397479,1.326071
0.4150,-0.438523,0.402016,1.323620,-0.438523,0.402015,1.323620
0.4200,-0.441905,0.406514,1.321138,-0.441905,0.406514,1.321137
0.4250,-0.445244,0.410973,1.318623,-0.445244,0.410973,1.318623
0.4300,-0.448543,0.415392,1.316078,-0.448543,0.415392,1.316078
0.4350,-0.451801,0.419771,1.313501,-0.451801,0.419771,1.313501
0.4400,-0.455019,0.424109,1.310893,-0.455019,0.424109,1.310892
0.4450,-0.458198,0.428405,1.308254,-0.458198,0.428405,1.308253
0.4500,-0.461338,0.432658,1.305584,-0.461338,0.432658,1.305584
0.4550,-0.464440,0.436869,1.302885,-0.464440,0.436869,1.302885
0.4600,-0.467504,0.441037,1.300157,-0.467504,0.441037,1.300157
0.4650,-0.470533,0.445161,1.297401,-0.470533,0.445161,1.297400
0.4700,-0.473526,0.449241,1.294617,-0.473525,0.449241,1.294617
0.4750,-0.476484,0.453277,1.291807,-0.476484,0.453276,1.291806
0.4800,-0.479409,0.457268,1.288972,-0.479408,0.457268,1.288971
0.4850,-0.482301,0.461214,1.286113,-0.482301,0.461214,1.286112
0.4900,-0.485162,0.465116,1.283231,-0.485161,0.465115,1.283231
0.4950,-0.487992,0.468972,1.280328,-0.487992,0.468972,1.280328
0.5000,-0.490794,0.472783,1.277406,-0.490794,0.472783,1.277405
0.5050,-0.493567,0.476548,1.274466,-0.493567,0.476548,1.274465
0.5100,-0.496314,0.480269,1.271509,-0.496314,0.480269,1.271509
0.5150,-0.499036,0.483944,1.268538,-0.499036,0.483944,1.268537
0.5200,-0.501734,0.487574,1.265554,-0.501734,0.487573,1.265553
0.5250,-0.504409,0.491158,1.262559,-0.504409,0.491158,1.262559
0.5300,-0.507062,0.494698,1.259555,-0.507062,0.494698,1.259555
0.5350,-0.509695,0.498194,1.256544,-0.509695,0.498194,1.256543
0.5400,-0.512309,0.501645,1.253527,-0.512309,0.501645,1.253527
0.5450,-0.514905,0.505053,1.250507,-0.514904,0.505053,1.250507
0.5500,-0.517483,0.508418,1.247485,-0.517483,0.508418,1.247485
0.5550,-0.520046,0.511741,1.244463,-0.520046,0.511741,1.244463
0.5600,-0.522593,0.515023,1.241444,-0.522593,0.515023,1.241443
0.5650,-0.525127,0.518264,1.238427,-0.525127,0.518264,1.238427
0.5700,-0.527647,0.521466,1.235416,-0.527647,0.521466,1.235416
0.5750,-0.530156,0.524630,1.232412,-0.530155,0.524630,1.232412
0.5800,-0.532652,0.527756,1.229417,-0.532652,0.527756,1.229416
0.5850,-0.535138,0.530846,1.226431,-0.535137,0.530846,1.226431
0.5900,-0.537613,0.533901,1.223457,-0.537613,0.533901,1.223457
0.5950,-0.540079,0.536923,1.220496,-0.540079,0.536923,1.220495
0.6000,-0.542536,0.539911,1.217549,-0.542536,0.539911,1.217548
0.6050,-0.544985,0.542869,1.214616,-0.544985,0.542869,1.214616
0.6100,-0.547426,0.545796,1.211700,-0.547426,0.545796,1.211700
0.6150,-0.549860,0.548694,1.208801,-0.549860,0.548693,1.208801
0.6200,-0.552288,0.551563,1.205920,-0.552287,0.551563,1.205919
0.6250,-0.554709,0.554406,1.203057,-0.554709,0.554406,1.203056
