t,rs_x,rs_y,rs_z,py_x,py_y,py_z
0.3900,0.218891,-0.079705,1.402651,0.218892,-0.079705,1.402649
0.3950,0.221500,-0.082255,1.402184,0.221501,-0.082255,1.402182
0.4000,0.224190,-0.084760,1.401719,0.224191,-0.084761,1.401717
0.4050,0.226960,-0.087221,1.401257,0.226961,-0.087222,1.401255
0.4100,0.229810,-0.089637,1.400797,0.229811,-0.089638,1.400794
0.4150,0.232739,-0.092006,1.400339,0.232741,-0.092007,1.400336
0.4200,0.235747,-0.094328,1.399882,0.235748,-0.094329,1.399880
0.4250,0.238832,-0.096602,1.399427,0.238833,-0.096603,1.399425
0.4300,0.241994,-0.098827,1.398974,0.241995,-0.098828,1.398971
0.4350,0.245232,-0.101003,1.398522,0.245233,-0.101004,1.398519
0.4400,0.248544,-0.103130,1.398071,0.248546,-0.103131,1.398069
0.4450,0.251931,-0.105206,1.397622,0.251933,-0.105207,1.397619
0.4500,0.255391,-0.107231,1.397174,0.255393,-0.107232,1.397172
0.4550,0.258922,-0.109205,1.396729,0.258924,-0.109206,1.396726
0.4600,0.262525,-0.111127,1.396285,0.262527,-0.111128,1.396282
0.4650,0.266197,-0.112997,1.395843,0.266199,-0.112998,1.395840
0.4700,0.269937,-0.114815,1.395403,0.269939,-0.114816,1.395401
0.4750,0.273744,-0.116580,1.394967,0.273746,-0.116581,1.394964
0.4800,0.277617,-0.118292,1.394533,0.277619,-0.118293,1.394531
0.4850,0.281554,-0.119951,1.394103,0.281556,-0.119952,1.394101
0.4900,0.285554,-0.121557,1.393678,0.285556,-0.121558,1.393675
0.4950,0.289615,-0.123109,1.393256,0.289618,-0.123110,1.393253
0.5000,0.293737,-0.124607,1.392840,0.293739,-0.124608,1.392836
0.5050,0.297917,-0.126052,1.392429,0.297919,-0.126053,1.392425
0.5100,0.302153,-0.127444,1.392024,0.302156,-0.127445,1.392021
0.5150,0.306445,-0.128782,1.391625,0.306448,-0.128783,1.391622
0.5200,0.310791,-0.130066,1.391235,0.310793,-0.130067,1.391231
0.5250,0.315188,-0.131296,1.390852,0.315191,-0.131297,1.390849
0.5300,0.319635,-0.132474,1.390478,0.319638,-0.132475,1.390474
0.5350,0.324130,-0.133598,1.390113,0.324133,-0.133599,1.390110
0.5400,0.328671,-0.134669,1.389758,0.328675,-0.134670,1.389755
0.5450,0.333257,-0.135687,1.389415,0.333261,-0.135688,1.389411
0.5500,0.337886,-0.136653,1.389083,0.337889,-0.136654,1.389079
0.5550,0.342554,-0.137566,1.388763,0.342558,-0.137567,1.388759
0.5600,0.347261,-0.138427,1.388456,0.347265,-0.138428,1.388452
0.5650,0.352005,-0.139237,1.388163,0.352009,-0.139238,1.388159
0.5700,0.356782,-0.139995,1.387885,0.356786,-0.139997,1.387881
0.5750,0.361592,-0.140703,1.387622,0.361596,-0.140704,1.387618
0.5800,0.366431,-0.141360,1.387376,0.366435,-0.141361,1.387372
0.5850,0.371298,-0.141967,1.387146,0.371302,-0.141969,1.387142
0.5900,0.376190,-0.142525,1.386934,0.376194,-0.142526,1.386930
0.5950,0.381105,-0.143034,1.386741,0.381110,-0.143035,1.386737
0.6000,0.386041,-0.143494,1.386566,0.386045,-0.143496,1.386562
0.6050,0.390994,-0.143907,1.386412,0.390999,-0.143908,1.386408
0.6100,0.395964,-0.144273,1.386278,0.395968,-0.144274,1.386274
0.6150,0.400946,-0.144592,1.386165,0.400950,-0.144593,1.386161
0.6200,0.405939,-0.144865,1.386074,0.405943,-0.144866,1.386070
0.6250,0.410940,-0.145093,1.386006,0.410944,-0.145094,1.386002
0.6300,0.415946,-0.145276,1.385961,0.415951,-0.145278,1.385956
0.6350,0.420955,-0.145416,1.385939,0.420960,-0.145417,1.385935
0.6400,0.425964,-0.145513,1.385941,0.425969,-0.145514,1.385937
0.6450,0.430970,-0.145568,1.385968,0.430975,-0.145569,1.385964
0.6500,0.435971,-0.145581,1.386020,0.435976,-0.145583,1.386016
0.6550,0.440964,-0.145554,1.386098,0.440969,-0.145556,1.386093
0.6600,0.445945,-0.145488,1.386201,0.445951,-0.145489,1.386196
0.6650,0.450913,-0.145382,1.386330,0.450919,-0.145384,1.386325
0.6700,0.455865,-0.145239,1.386486,0.455870,-0.145241,1.386481
0.6750,0.460796,-0.145059,1.386668,0.460802,-0.145061,1.386663
0.6800,0.465705,-0.144844,1.386876,0.465711,-0.144845,1.386871
0.6850,0.470589,-0.144593,1.387111,0.470595,-0.144595,1.387106
0.6900,0.475444,-0.144309,1.387373,0.475450,-0.144310,1.387369
0.6950,0.480268,-0.143991,1.387662,0.480274,-0.143993,1.387657
0.7000,0.485058,-0.143642,1.387978,0.485064,-0.143644,1.387973
0.7050,0.489811,-0.143262,1.388320,0.489817,-0.143264,1.388315
0.7100,0.494524,-0.142852,1.388689,0.494531,-0.142854,1.388684
0.7150,0.499195,-0.142413,1.389084,0.499202,-0.142415,1.389079
0.7200,0.503822,-0.141946,1.389504,0.503829,-0.141947,1.389499
0.7250,0.508402,-0.141451,1.389951,0.508409,-0.141453,1.389945
0.7300,0.512933,-0.140931,1.390422,0.512940,-0.140932,1.390416
0.7350,0.517413,-0.140384,1.390917,0.517421,-0.140386,1.390912
0.7400,0.521841,-0.139813,1.391436,0.521848,-0.139815,1.391431
0.7450,0.526214,-0.139219,1.391978,0.526221,-0.139220,1.391973
0.7500,0.530531,-0.138601,1.392543,0.530538,-0.138602,1.392537
0.7550,0.534790,-0.137960,1.393130,0.534798,-0.137962,1.393124
0.7600,0.538990,-0.137298,1.393737,0.538998,-0.137300,1.393732
0.7650,0.543130,-0.136614,1.394366,0.543138,-0.136616,1.394360
0.7700,0.547208,-0.135910,1.395014,0.547216,-0.135912,1.395008
0.7750,0.551224,-0.135186,1.395681,0.551232,-0.135188,1.395676
0.7800,0.555177,-0.134442,1.396367,0.555185,-0.134444,1.396362
0.7850,0.559065,-0.133680,1.397071,0.559073,-0.133682,1.397066
0.7900,0.562888,-0.132899,1.397793,0.562897,-0.132901,1.397787
0.7950,0.566646,-0.132100,1.398530,0.566654,-0.132102,1.398525
0.8000,0.570337,-0.131284,1.399284,0.570346,-0.131286,1.399279
0.8050,0.573962,-0.130450,1.400054,0.573971,-0.130453,1.400048
0.8100,0.577520,-0.129600,1.400838,0.577529,-0.129602,1.400832
0.8150,0.581010,-0.128733,1.401637,0.581019,-0.128735,1.401631
0.8200,0.584433,-0.127850,1.402450,0.584442,-0.127853,1.402444
