t,rs_x,rs_y,rs_z,py_x,py_y,py_z
0.3700,0.332347,-0.256610,1.849973,0.332347,-0.256610,1.849973
0.3750,0.342289,-0.259794,1.852370,0.342289,-0.259794,1.852370
0.3800,0.352277,-0.262986,1.854739,0.352277,-0.262986,1.854739
0.3850,0.362310,-0.266186,1.857080,0.362310,-0.266186,1.857080
0.3900,0.372383,-0.269392,1.859396,0.372383,-0.269392,1.859396
0.3950,0.382494,-0.272602,1.861685,0.382494,-0.272602,1.861685
0.4000,0.392641,-0.275817,1.863950,0.392641,-0.275817,1.863950
0.4050,0.402820,-0.279033,1.866191,0.402820,-0.279033,1.866191
0.4100,0.413028,-0.282252,1.868409,0.413028,-0.282252,1.868409
0.4150,0.423263,-0.285470,1.870604,0.423263,-0.285470,1.870604
0.4200,0.433523,-0.288687,1.872778,0.433523,-0.288687,1.872778
0.4250,0.443804,-0.291902,1.874931,0.443804,-0.291902,1.874931
0.4300,0.454104,-0.295114,1.877064,0.454104,-0.295114,1.877064
0.4350,0.464420,-0.298321,1.879177,0.464420,-0.298321,1.879177
0.4400,0.474751,-0.301524,1.881272,0.474751,-0.301524,1.881272
0.4450,0.485093,-0.304720,1.883350,0.485093,-0.304720,1.883350
0.4500,0.495444,-0.307908,1.885410,0.495444,-0.307908,1.885410
0.4550,0.505803,-0.311088,1.887454,0.505803,-0.311088,1.887454
0.4600,0.516166,-0.314260,1.889481,0.516165,-0.314260,1.889481
0.4650,0.526531,-0.317421,1.891494,0.526531,-0.317421,1.891494
0.4700,0.536896,-0.320571,1.893491,0.536896,-0.320571,1.893491
0.4750,0.547260,-0.323709,1.895474,0.547260,-0.323709,1.895474
0.4800,0.557619,-0.326834,1.897444,0.557619,-0.326834,1.897444
0.4850,0.567973,-0.329946,1.899400,0.567973,-0.329946,1.899400
0.4900,0.578318,-0.333044,1.901342,0.578318,-0.333044,1.901342
0.4950,0.588653,-0.336126,1.903272,0.588653,-0.336126,1.903272
0.5000,0.598976,-0.339193,1.905190,0.598976,-0.339193,1.905190
0.5050,0.609285,-0.342242,1.907096,0.609285,-0.342242,1.907096
0.5100,0.619579,-0.345275,1.908990,0.619579,-0.345275,1.908990
0.5150,0.629854,-0.348289,1.910873,0.629854,-0.348289,1.910873
0.5200,0.640110,-0.351284,1.912745,0.640110,-0.351284,1.912745
0.5250,0.650345,-0.354260,1.914606,0.650345,-0.354260,1.914606
0.5300,0.660557,-0.357216,1.916455,0.660557,-0.357215,1.916455
0.5350,0.670744,-0.360150,1.918295,0.670744,-0.360150,1.918295
0.5400,0.680905,-0.363063,1.920124,0.680905,-0.363063,1.920124
0.5450,0.691038,-0.365953,1.921942,0.691038,-0.365953,1.921942
0.5500,0.701142,-0.368821,1.923751,0.701142,-0.368821,1.923751
0.5550,0.711214,-0.371665,1.925549,0.711214,-0.371665,1.925549
0.5600,0.721254,-0.374485,1.927337,0.721254,-0.374485,1.927337
0.5650,0.731259,-0.377280,1.929115,0.731259,-0.377280,1.929115
0.5700,0.741229,-0.380050,1.930883,0.741229,-0.380050,1.930883
0.5750,0.751162,-0.382795,1.932642,0.751162,-0.382795,1.932642
0.5800,0.761057,-0.385513,1.934390,0.761057,-0.385512,1.934390
0.5850,0.770912,-0.388203,1.936128,0.770912,-0.388203,1.936128
0.5900,0.780726,-0.390867,1.937856,0.780726,-0.390867,1.937856
0.5950,0.790498,-0.393503,1.939573,0.790498,-0.393503,1.939573
0.6000,0.800226,-0.396111,1.941281,0.800226,-0.396111,1.941281
0.6050,0.809910,-0.398689,1.942978,0.809910,-0.398689,1.942978
0.6100,0.819548,-0.401239,1.944665,0.819548,-0.401239,1.944665
0.6150,0.829140,-0.403759,1.946341,0.829140,-0.403759,1.946341
0.6200,0.838684,-0.406250,1.948007,0.838684,-0.406250,1.948007
0.6250,0.848179,-0.408710,1.949661,0.848179,-0.408710,1.949661
0.6300,0.857624,-0.411140,1.951305,0.857624,-0.411140,1.951305
0.6350,0.867019,-0.413539,1.952938,0.867019,-0.413539,1.952938
0.6400,0.876362,-0.415906,1.954559,0.876362,-0.415906,1.954559
0.6450,0.885652,-0.418242,1.956169,0.885652,-0.418242,1.956169
0.6500,0.894890,-0.420547,1.957767,0.894890,-0.420547,1.957767
0.6550,0.904073,-0.422819,1.959353,0.904073,-0.422819,1.959353
0.6600,0.913202,-0.425060,1.960928,0.913202,-0.425060,1.960928
0.6650,0.922275,-0.427268,1.962490,0.922275,-0.427268,1.962490
0.6700,0.931292,-0.429443,1.964040,0.931292,-0.429443,1.964040
0.6750,0.940252,-0.431586,1.965578,0.940252,-0.431586,1.965578
0.6800,0.949155,-0.433695,1.967103,0.949155,-0.433695,1.967103
0.6850,0.957999,-0.435771,1.968615,0.957999,-0.435771,1.968615
0.6900,0.966785,-0.437814,1.970114,0.966785,-0.437814,1.970114
0.6950,0.975512,-0.439824,1.971600,0.975512,-0.439824,1.971600
0.7000,0.984179,-0.441800,1.973072,0.984179,-0.441800,1.973072
0.7050,0.992785,-0.443742,1.974531,0.992785,-0.443742,1.974531
0.7100,1.001332,-0.445650,1.975976,1.001332,-0.445650,1.975976
0.7150,1.009816,-0.447525,1.977407,1.009816,-0.447525,1.977407
0.7200,1.018240,-0.449365,1.978824,1.018240,-0.449365,1.978824
0.7250,1.026601,-0.451171,1.980227,1.026601,-0.451171,1.980227
0.7300,1.034900,-0.452943,1.981615,1.034900,-0.452943,1.981615
0.7350,1.043136,-0.454681,1.982989,1.043136,-0.454681,1.982989
0.7400,1.051309,-0.456384,1.984348,1.051309,-0.456384,1.984348
0.7450,1.059419,-0.458053,1.985692,1.059418,-0.458053,1.985692
0.7500,1.067464,-0.459688,1.987022,1.067464,-0.459687,1.987022
0.7550,1.075446,-0.461288,1.988336,1.075446,-0.461287,1.988336
0.7600,1.083364,-0.462853,1.989634,1.083363,-0.462853,1.989634
0.7650,1.091216,-0.464384,1.990918,1.091216,-0.464384,1.990918
0.7700,1.099004,-0.465881,1.992185,1.099004,-0.465880,1.992185
0.7750,1.106728,-0.467342,1.993438,1.106728,-0.467342,1.993438
0.7800,1.114385,-0.468770,1.994674,1.114385,-0.468770,1.994674
0.7850,1.121978,-0.470163,1.995894,1.121978,-0.470163,1.995894
0.7900,1.129505,-0.471521,1.997099,1.129505,-0.471521,1.997099
0.7950,1.136966,-0.472845,1.998287,1.136966,-0.472845,1.998287
0.8000,1.144361,-0.474135,1.999459,1.144361,-0.474135,1.999459
0.8050,1.151691,-0.475390,2.000615,1.151691,-0.475390,2.000615
0.8100,1.158954,-0.476611,2.001754,1.158954,-0.476611,2.001754
0.8150,1.166151,-0.477798,2.002877,1.166151,-0.477798,2.002877
0.8200,1.173283,-0.478950,2.003983,1.173282,-0.478950,2.003984
0.8250,1.180347,-0.480069,2.005073,1.180347,-0.480069,2.005073
0.8300,1.187346,-0.481153,2.006146,1.187346,-0.481153,2.006146
0.8350,1.194278,-0.482203,2.007203,1.194278,-0.482203,2.007203
0.8400,1.201144,-0.483220,2.008242,1.201144,-0.483220,2.008242
0.8450,1.207943,-0.484202,2.009265,1.207943,-0.484202,2.009265
0.8500,1.214676,-0.485151,2.010271,1.214676,-0.485151,2.010271
0.8550,1.221343,-0.486067,2.011260,1.221343,-0.486067,2.011260
0.8600,1.227943,-0.486948,2.012231,1.227943,-0.486948,2.012231
0.8650,1.234477,-0.487797,2.013186,1.234477,-0.487797,2.013186
0.8700,1.240945,-0.488612,2.014124,1.240945,-0.488612,2.014124
0.8750,1.247347,-0.489394,2.015045,1.247347,-0.489394,2.015045
0.8800,1.253682,-0.490143,2.015949,1.253682,-0.490143,2.015949
0.8850,1.259952,-0.490859,2.016835,1.259952,-0.490859,2.016835
0.8900,1.266155,-0.491543,2.017705,1.266155,-0.491543,2.017705
0.8950,1.272293,-0.492193,2.018557,1.272293,-0.492193,2.018557
0.9000,1.278365,-0.492812,2.019392,1.278365,-0.492812,2.019392
0.9050,1.284371,-0.493397,2.020210,1.284371,-0.493397,2.020210
0.9100,1.290311,-0.493951,2.021011,1.290311,-0.493951,2.021011
0.9150,1.296186,-0.494472,2.021795,1.296186,-0.494472,2.021795
0.9200,1.301996,-0.494962,2.022561,1.301996,-0.494962,2.022561
0.9250,1.307741,-0.495419,2.023311,1.307741,-0.495419,2.023311
0.9300,1.313420,-0.495845,2.024043,1.313420,-0.495845,2.024043
0.9350,1.319035,-0.496240,2.024758,1.319035,-0.496240,2.024758
0.9400,1.324584,-0.496603,2.025456,1.324584,-0.496603,2.025456
0.9450,1.330070,-0.496935,2.026138,1.330070,-0.496935,2.026138
0.9500,1.335490,-0.497236,2.026802,1.335490,-0.497236,2.026802
0.9550,1.340847,-0.497506,2.027449,1.340847,-0.497506,2.027449
0.9600,1.346139,-0.497745,2.028079,1.346139,-0.497745,2.028079
0.9650,1.351367,-0.497954,2.028692,1.351367,-0.497954,2.028692
